Time	OTF	Violation	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
27930	0.09774436090225563	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	152.919228	1.6425266165413535
31830	0.09519321394910461	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	187.799796	1.7700263524976436
11130	0.08355795148247978	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	34.449079	0.9285466037735848
11430	0.08136482939632546	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	26.261406	0.689275748031496
15930	0.09604519774011298	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	69.282858	1.304761920903955
15930	0.09604519774011298	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	58.248776	1.0969637664783427
10830	0.08587257617728532	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	31.570409	0.8745265650969529
20730	0.08827785817655572	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	90.049977	1.303183458755427
20430	0.08957415565345081	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	84.940152	1.2472856387665199
30930	0.0979631425800194	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	176.074261	1.707800785645005
